LocusTag,Gene,Length,description,pI,mw,proteinLength,function,product,essential,ec,names,,,
BSU36210,ywqH,420,unknown,4.82,15.7245,140,unknown,unknown,no,,ywqH,,,
BSU21670,ypqP,606,"C-terminal part of the split gene spsM (together with [[gene|yodU]]), spore envelope polysaccharide biosynthesis, in <i>B. subtilis</i> 168 the gene is disrupted by the SP-beta prophage",,,202,spore envelope polysaccharide biosynthesis,unknown,no,,"ypqP,spsM",,,
BSU03788,yczM,87,putative toxin,5.275,3,29,unknown,unknown,no,,yczM,,,
new_2611388_2611455_c,S958,68,"new RNA feature, intergenic region
",,,,,intergenic region,,,S958,,,
BSU03770,rapC,1146,"response regulator aspartate phosphatase,  controls [[protein|ComA ]]activity",5.02,45.4744,382,control of [[protein|ComA ]]activity,response regulator aspartate phosphatase,no,,"rapC,yclL",,,
BSU04170,ydaB,1395,similar to acyl-CoA synthetase (long-chain-fatty-acid--CoA ligase),4.85,51.067,465,unknown,unknown,no,,ydaB,,,
BSU11839,yjzE,252,general stress protein,9.897,10,84,unknown,unknown,no,,yjzE,,,
BSU20590,yoqL,690,unknown,10.04,23.5582,230,unknown,unknown,no,,yoqL,,,
new_630028_630114,S203,87,"new RNA feature, intergenic region
",,,,,intergenic region,,,S203,,,
BSU38730,cydD,1725,ABC transporter required for expression of cytochrome bd (ATP-binding protein),6.22,64.3366,575,required for expression of cytochrome bd,ABC transporter  (ATP-binding protein),no,,"cydD,yxkN",,,
new_1473128_1473196_c,S508,69,"new RNA feature, 5'UTR of patA
",,,,,5'UTR of patA,,,S508,,,
new_428689_428793,S129,105,"new RNA feature, intergenic region
",,,,,intergenic region,,,S129,,,
BSU25630,yqeK,558,predicted HD superfamily hydrolase involved in NAD metabolism,5.97,21.1373,186,unknown,unknown,no,,yqeK,,,
BSU17600,xylA,1335,xylose isomerase,5.64,50.0871,445,utilization of xylan and xylose,xylose isomerase,no,5.3.1.5,xylA,,,
BSU16640,ylxP,276,"general stress protein, required for protection against paraquat stress",7.89,10.514,92,protection against paraquat stress,unknown,no,,"ylxP,ymxD",,,
BSU16870,ymfI,726,[[protein|Efp]]-5 aminopentanone reductase,5.22,25.4278,242,modification of [[protein|Efp]],[[protein|Efp]]-5 aminopentanone reductase,no,,ymfI,,,
new_2642036_2642116,S964,81,"new RNA feature, 3'UTR of comER
",,,,,3'UTR of comER,,,S964,,,
BSU26030,yqbO,4755,similar to phage-related protein,10.2,170.779,1585,unknown,unknown,no,,yqbO,,,
new_2273515_2273748,bsrG,234,"hydrophobic toxin; interferes with cell envelope biosynthesis, causes membrane invaginations together with delocalization of the cell wall synthesis machinery, triggers autolysis, and inhibits protein biosynthesis ",,,,stability of prophage SPß,hydrophobic class I toxin,no,,"bsrG,bsrG,S809",,,
new_37639_37719,S22,81,"new RNA feature, intergenic region
",,,,,intergenic region,,,S22,,,
BSU05150,ydeC,873,similar to transcription factor (AraC family),6.87,34.0721,291,unknown,unknown,no,,ydeC,,,
BSU15870,recG,2046,"ATP-dependent DNA helicase, branch migration translocase, required for DNA repair and chromosomal segregation",7.09,77.9584,682,DNA repair and chromosomal segregation,"ATP-dependent DNA helicase, branch migration translocase",no,,"recG,ylpB",,,
BSU00820,lysS,1497,lysyl-tRNA synthetase,5.03,57.3704,499,translation,lysyl-tRNA synthetase,yes,6.1.1.6,lysS,,,
BSU24600,sinI,171,"antagonist of [[protein|SinR]], drives [[protein|SlrR]] from the [[protein|SlrR]](LOW) to the [[protein|SlrR]](HIGH) state",6.33,6.4661,57,control of [SW|biofilm formation],antagonist of [[protein|SinR]],no,,sinI,,,
BSU19320,sqhC,1896,"squalene-hopene cyclase, biosynthesis of sporulenes, protection of the spore against oxidative stress",7.63,71.0458,632,biosynthesis of sporulenes,squalene-hopene cyclase,no,,sqhC,,,
BSU25760,sigKN,468,"[SW|RNA polymerase ][SW|sporulation]-specific [SW|sigma factor ](sigma-K) (N-terminal half), with [[protein|sigKC]]",8,17,156,late mother cell-specific gene expression,[SW|RNA polymerase ][SW|sporulation]-specific [SW|sigma factor ](sigma-K) (N-terminal half),no,,"sigKN,spoIVCB",,,
BSU29490,tpx,501,probable thiol peroxidase,4.7,18.0722,167,unknown,unknown,no,,"tpx,ytgI",,,
BSU22810,yphF,732,unknown,5.63,27.599,244,unknown,unknown,no,,"yphF,johF",,,
new_952948_953024,S306,77,"new RNA feature, 3' of trnD-Leu1
",,,,,3' of trnD-Leu1,,,S306,,,
new_1105569_1105635_c,S363,67,"new RNA feature, 5'UTR of aprE
",,,,,5'UTR of aprE,,,S363,,,
BSU28530,etfB,771,electron transfer flavoprotein (beta subunit),4.19,28.367,257,fatty acid degradation,electron transfer flavoprotein (beta subunit),no,,etfB,,,
new_3129078_3129194_c,S1167,117,"new RNA feature, intergenic region
",,,,,intergenic region,,,S1167,,,
BSU11400,appC,909,oligopeptide [SW|ABC transporter] (permease),9.78,33.2673,303,uptake of oligopeptides,oligopeptide [SW|ABC transporter] (permease)),no,,appC,,,
BSU14050,ykuE,861,Mn/ Zn-dependent phosphatase,8.89,31.6077,287,unknown,Mn/ Zn-dependent phosphatase,no,,ykuE,,,
new_1591418_1591539,S559,122,"new RNA feature, intergenic region
",,,,,intergenic region,,,S559,,,
BSU17690,yncM,750,unknown,9.97,26.4477,250,unknown,unknown,no,,yncM,,,
BSU13510,ykzE,174,unknown,10.19,6.7922,58,unknown,unknown,no,,ykzE,,,
BSU21320,yomL,684,unknown protein,9.36,25.284,228,unknown,unknown,no,,yomL,,,
BSU09880,yhaR,765,similar to enoyl CoA hydratase,6.36,27.4735,255,unknown,unknown,no,,yhaR,,,
new_3675995_3676059_c,S1371,65,"new RNA feature, 5'UTR of tagG
",,,,,5'UTR of tagG,,,S1371,,,
BSU15990,rpsP,270,ribosomal protein,10.66,9.9971,90,translation,ribosomal protein S16 (BS17),yes,,rpsP,,,
BSU13350,ykoN,1119,unknown,8.76,43.3217,373,unknown,unknown,no,,ykoN,,,
BSU12430,rapA,1134,"response regulator aspartate phosphatase, dephosphorylates Spo0F-P, control of the phosphorelay",4.85,44.8132,378,control of sporulation initiation,response regulator aspartate phosphatase,no,,"rapA,gsiAA,spo0L",,,
new_1451263_1451370,S502,108,"new RNA feature, 5'UTR of zosA
",,,,,5'UTR of zosA,,,S502,,,
BSU12510,xre,339,transcriptional repressor (Xre family) of PBSX prophage genes,8.45,13.1181,113,regulation of PBSX prophage gene expression,transcriptional repressor (Xre family),yes,,xre,,,
BSU20800,yopQ,1380,unknown,5.23,53.3371,460,unknown,unknown,no,,yopQ,,,
BSU08660,sspE,252,small acid-soluble spore protein (major gamma-type SASP),8.94,9.1308,84,protection of spore DNA,small acid-soluble spore protein (major gamma-type SASP),no,,sspE,,,
BSU40170,yydG,957,"radical SAM epimerase, modification of [[protein|YydF]]",5.86,37.0552,319,control of [[protein|LiaR]]-[[protein|LiaS]] activity,radical SAM epimerase,no,,yydG,,,
BSU17070,ymcC,555,unknown,10.08,20.3669,185,unknown,unknown,no,,ymcC,,,
BSU21470,sunT,2115,[[protein|SunA|sublancin]] 168 lantibiotic [SW|ABC transporter],8.39,81.3801,705,[[protein|SunA|sublancin]] export and processing,[[protein|SunA|sublancin]] 168 lantibiotic [SW|ABC transporter],no,,"sunT,yolH",,,
BSU24030,bkdB,1272,"2-oxoisovalerate dehydrogenase (E2 subunit, lipoamide acyltransferase)",5.3,45.6742,424,utilization of branched-chain keto acids,"2-oxoisovalerate dehydrogenase (E2 subunit, lipoamide acyltransferase)",no,2.3.1.168,"bkdB,bfmBB,bfmB2,bkd",,,
BSU31760,pncA,549,nicotinamidase,5.6,20.3786,183,NAD salvage,nicotinamidase,no,,"pncA,yueJ",,,
BSU37880,spsD,867,spore coat polysaccharide synthesis,6,32.9884,289,spore coat polysaccharide synthesis,unknown,no,,"spsD,ipa-66d",,,
BSU36280,ywqA,2766,similar to SNF2 helicase,5.01,105.827,922,unknown,unknown,no,,ywqA,,,
BSU21070,yonJ,1215,unknown,6.13,47.1884,405,unknown,unknown,no,,yonJ,,,
new_818856_819310_c,S252,455,"new RNA feature, intergenic region
",,,,,intergenic region,,,S252,,,
new_3354935_3355044_c,S1256,110,"new RNA feature, intergenic region
",,,,,intergenic region,,,S1256,,,
new_4051522_4051601_c,S1518,80,"new RNA feature, intergenic region
",,,,,intergenic region,,,S1518,,,
BSU37600,ywfO,1299,unknown,5.84,50.8109,433,unknown,unknown,no,,"ywfO,ipa-93d",,,
new_79027_79091,S40,65,"new RNA feature, 5'UTR of coaX
",,,,,5'UTR of coaX,,,S40,,,
BSU32380,yunE,819,unknown,10.11,28.9465,273,unknown,unknown,no,,yunE,,,
BSU39280,yxxE,306,unknown,4.51,11.7811,102,unknown,unknown,no,,yxxE,,,
BSU40270,yycP,1161,unknown,8.97,44.0876,387,unknown,unknown,no,,yycP,,,
new_1930742_1930833,S670,92,"new RNA feature, 5'UTR of yneP
",,,,,5'UTR of yneP,,,S670,,,
BSU39680,iolI,834,"inosose isomerase,  converts 2KMI to 1-keto-D-chiro-inositol",4.66,31.5038,278,myo-inositol catabolism,"inosose isomerase, converts 2KMI to 1-keto-D-chiro-inositol",no,,"iolI,yxdH",,,
BSU11000,yitI,462,similar to glyphosate N-acetyltransferase,9.17,17.4716,154,unknown,unknown,no,2.3.1.-,yitI,,,
BSU30620,ytlD,810,similar to ABC transporter (permease),9.77,30.1548,270,unknown,ABC transporter (permease),no,,ytlD,,,
BSU12580,xtmB,1299,PBSX terminase (large subunit),8.87,50.9863,433,phage DNA replication,PBSX terminase (large subunit),no,,"xtmB,ykxG",,,
BSU05300,ydeQ,591,similar to NAD(P)H oxidoreductase,6.06,22.6857,197,unknown,unknown,no,,ydeQ,,,
BSU17930,ccdA,705,membrane-embedded thiol-disulfide oxidoreductase,9.67,25.8592,235,cytochrome c synthesis,thiol-disulfide oxidoreductase,no,,ccdA,,,
BSU28180,ysxD,561,unknown,9.51,21.5263,187,unknown,unknown,no,,ysxD,,,
BSU08470,yfhB,879,unknown,5.19,31.9764,293,unknown,unknown,no,,yfhB,,,
BSU12780,xepA,837,PBSX prophage lytic exoenzyme,5.42,30.2596,279,phage release,PBSX prophage lytic exoenzyme,no,,"xepA,xkdY",,,
BSU18040,yneP,363,putative 4-hydroxybenzoyl coenzyme-A thioesterase,8.64,13.8101,121,unknown,putative 4-hydroxybenzoyl coenzyme-A thioesterase,no,,yneP,,,
BSU20320,yorN,147,unknown,4.1,5.478,49,unknown,unknown,no,,yorN,,,
BSU21610,yokF,888,similar to micrococcal nuclease,8.4,32.8487,296,unknown,unknown,no,,yokF,,,
new_1094366_1094987_c,S359,622,"new RNA feature, independent transcript
",,,,,independent transcript,,,S359,,,
BSU02260,ybfK,888,carboxylesterase NP,5.14,32.9182,296,degradation of isoprenoid-containing lipids,carboxylesterase NP,no,3.1.1.1,"ybfK,cesB",,,
BSU09760,yheE,216,unknown,5.89,8.4223,72,unknown,unknown,no,,yheE,,,
new_3123442_3124021_c,S1163,580,"new RNA feature, 5'UTR of ytpA
",,,,,5'UTR of ytpA,,,S1163,,,
new_467042_467129,S138,88,"new RNA feature, 5'UTR of mtlR
",,,,,5'UTR of mtlR,,,S138,,,
BSU02050,ybdO,1182,unknown,5.36,44.6771,394,unknown,unknown,no,,ybdO,,,
new_696054_696194,S228,141,"new RNA feature, 5'UTR of yebC
",,,,,5'UTR of yebC,,,S228,,,
new_929322_929389,S292,68,"new RNA feature, intergenic region
",,,,,intergenic region,,,S292,,,
BSU00480,yabJ,375,"2-iminobutanoate/2-iminopropanoate deaminase, detoxification of reactive intermediates generated in isoleucine biosynthesis",5.13,13.5135,125,deamination of reactive intermediates generated in isoleucine biosynthesis,2-iminobutanoate/2-iminopropanoate deaminase,no,,yabJ,,,
BSU34729,yvzJ,207,unknown,4.927,8,69,unknown,unknown,-,,yvzJ,,,
new_1255943_1256078,S427,136,"new RNA feature, 5'UTR of yjzE
",,,,,5'UTR of yjzE,,,S427,,,
new_1018497_1020028_c,S327,1532,"new RNA feature, intergenic region
",,,,,intergenic region,,,S327,,,
BSU04340,ydaP,1722,"general stress protein, required for survival of ethanol stress, cold stress (4°C) and oxidative stress (superoxide/paraquat), putative pyruvate oxidase",5.22,62.965,574,unknown,putative pyruvate oxidase,no,,ydaP,,,
BSU08210,yfiB,1719,similar to [SW|ABC transporter] (ATP-binding protein),8.93,63.7681,573,unknown,[SW|ABC transporter] (ATP-binding protein),no,,yfiB,,,
BSU18190,yngC,594,similar to alkaline phosphatase,9.77,21.7812,198,unknown,unknown,no,,yngC,,,
BSU05880,gmuG,1086,"beta-1,4-mannanase",5.63,40.6756,362,glucomannan utilization,"beta-1,4-mannanase",no,3.2.1.78,"gmuG,ydhT",,,
new_1447578_1447661_c,S500,84,"new RNA feature, 3'UTR of ykvS
",,,,,3'UTR of ykvS,,,S500,,,
BSU05470,ydfM,891,primary manganese (II) efflux pump,6.16,32.6446,297,Mn(II) export,manganese (II) efflux pump,no,,"mneP,ydfM",,,
BSU03620,bsdA,870,transcriptional activator of the [[gene|bsdB]]-[[gene|bsdC]]-[[gene|bsdD]] operon,5.99,32.8349,290,regulation of resistance to salicylic acid,transcriptional activator ([SW|LysR family]),no,,"bsdA,yclA",,,
BSU04290,ydaL,1707,"general stress protein, synthesis of extracellular polysaccharide",6.68,63.6766,569,synthesis of extracellular polysaccharide,unknown,no,,ydaL,,,
BSU38870,yxkA,504,unknown,4.64,18.8871,168,unknown,unknown,no,,yxkA,,,
BSU14920,ctaF,330,cytochrome-c oxidase (subunit IV),9.88,12.481,110,respiration,cytochrome-c oxidase (subunit IV),no,1.9.3.1,ctaF,,,
BSU09750,sspB,201,small acid-soluble spore protein (major beta-type SASP),4.79,6.8438,67,protection of spore DNA,small acid-soluble spore protein (major beta-type SASP),no,,sspB,,,
BSU32240,thrB,927,homoserine kinase,4.74,33.1706,309,biosynthesis of threonine,homoserine kinase,no,2.7.1.39,"thrB,thrA",,,
BSU35780,lytD,2640,peptidoglycan N-acetylglucosaminidase,9.94,95.3576,880,"major autolysin, cell separation",peptidoglycan N-acetylglucosaminidase,no,3.2.1.96,"lytD,cwlG",,,
BSU04220,ydaG,420,"putative pyridoxamine 5'-phosphate oxidase , general stress protein, required for protection against paraquat stress",5.195,15,140,survival of stress conditions,putative pyridoxamine 5'-phosphate oxidase,no,,"ydaG,yzzA",,,
new_2053985_2054612,S708,628,"new RNA feature, independent transcript
",,,,,independent transcript,,,S708,,,
BSU23940,yqjB,528,"putative sporulation-specific L,D-transpeptidase",5.27,19.5493,176,unknown,"putative L,D-transpeptidase",no,,yqjB,,,
BSU38330,ywbG,723,holin-like auxilary protein ,9.56,25.6652,241,unknown,holin-like auxilary protein ,no,,"ywbG,ipa-22r",,,
BSU03580,yczE,645,unknown,10.02,23.1706,215,unknown,unknown,no,,yczE,,,
BSU31190,rhaM,312,mutarotase involved in rhamnose utilization,5.18,12.4356,104,utilization of rhamnose,mutarotase,no,,"rhaM,yulD",,,
new_2600050_2600154,S950,105,"new RNA feature, 5' of S950
",,,,,5' of S950,,,S950,,,
new_546051_546165_c,S173,115,"new RNA feature, 3'UTR of yddK
",,,,,3'UTR of yddK,,,S173,,,
BSU39530,yxeJ,225,unknown,6.93,8.2952,75,unknown,unknown,no,,yxeJ,,,
BSU01120,fusA,2076,"elongation factor G, facilitates movement of tRNA–mRNA by one codon",4.61,76.3604,692,translation,elongation factor G,yes,,"fusA,fus",,,
BSU01800,alkA,909,DNA-3-methyladenine glycosylase,8.15,35.479,303,adaptive response to alkylative DNA damage,DNA-3-methyladenine glycosylase,no,3.2.2.21,alkA,,,
BSU28220,clpX,1260,"AAA  unfoldase, ATP-dependent Clp protease, ATP-binding subunit (class III heat-shock protein)",4.64,46.2463,420,protein degradation,"AAA   unfoldase, ATP-dependent Clp protease, ATP-binding subunit",no,,clpX,,,
BSU26060,yqbM,441,similar to phage-related R-Type bacteriocin tube protein,4.57,16.1646,147,unknown,unknown,no,,yqbM,,,
new_2225616_2225829,S799,214,"new RNA feature, 3'UTR of yonN
",,,,,3'UTR of yonN,,,S799,,,
BSU29960,ytlP,549,putative 2-5 RNA-ligase,8.5,21.0025,183,RNA metabolism,putative 2-5 RNA-ligase,no,,ytlP,,,
BSU33790,sdpR,270,transcriptional repressor ([SW|ArsR family]) of the [[gene|sdpR]]-[[gene|sdpI ]]operon,7.33,10.1048,90,regulation of protection against [[protein|SdpC]],transcriptional regulator ([SW|ArsR family]),no,,"sdpR,yvbA",,,
BSU02790,ycdB,1416,unknown,4.56,53.6986,472,unknown,unknown,no,,ycdB,,,
BSU08490,yfhD,189,"general stress protein, survival of ethanol  stress and low temperatures",9.77,7.1861,63,survival of ethanol  stress and low temperatures,unknown,no,,yfhD,,,
BSU13900,ptsH,264,"HPr, General component of the sugar [SW|phosphotransferase system] (PTS)",4.58,9.0513,88,PTS-dependent sugar transport and carbon catabolite repression,histidine-containing phosphocarrier protein HPr of the PTS,no,2.7.11.-,"ptsH,HPr",,,
new_2989552_2990726,S1105,1175,"new RNA feature, independent transcript
",,,,,independent transcript,,,S1105,,,
BSU27930,spo0B,576,[[category|Sporulation]] initiation phosphotransferase of the [SW|phosphorelay],4.96,22.3965,192,initiation of [SW|sporulation],[SW|sporulation ]initiation phosphotransferase,no,,"spo0B,spo0D",,,
BSU10530,ntdC,1050,NAD-dependent glucose-6-phosphate dehydrogenase,6.23,39.1432,350,synthesis of the antibiotic kanosamine,NAD-dependent glucose-6-phosphate dehydrogenase,no,,"ntdC,yhjJ",,,
new_2664732_2666054,S975,1323,"new RNA feature, independent transcript
",,,,,independent transcript,,,S975,,,
BSU11140,yitU,810,"dephosphorylation of the riboflavin precursor, 5-amino-6-ribitylamino-2,4(1H,3H)-pyrimidinedione 5'-phosphate (minor activity)",4.67,30.4819,270,"dephosphorylation of the riboflavin precursor, 5-amino-6-ribitylamino-2,4(1H,3H)-pyrimidinedione 5'-phosphate (minor activity)",unknown,no,,yitU,,,
new_3622048_3622137_c,S1345,90,"new RNA feature, 5'UTR of swrAA/2
",,,,,5'UTR of swrAA/2,,,S1345,,,
BSU06440,purB,1293,adenylsuccinate lyase,5.82,49.3195,431,purine biosynthesis,adenylsuccinate lyase,no,4.3.2.2,purB,,,
BSU36050,cotB,1140,spore coat protein (outer),9.83,42.8121,380,resistance of the spore,spore coat protein (outer),no,,cotB,,,
new_204891_204975,S71,85,"new RNA feature, intergenic region
",,,,,intergenic region,,,S71,,,
BSU02390,ybgE,1068,branched-chain amino acid aminotransferase,4.95,39.5193,356,biosynthesis of branched-chain amino acids,branched-chain amino acid aminotransferase,no,2.6.1.42,ybgE,,,
BSU11610,nadF,798,NAD kinase,5.99,29.8619,266,generation of NADP from NAD,inorganic polyphosphate/ATP-NAD kinase,yes,2.7.1.23,"nadF,yjbN, ppnK",,,
new_2305036_2305183_c,S824,148,"new RNA feature, 5'UTR of bsaA
",,,,,5'UTR of bsaA,,,S824,,,
new_49987_50086,S27,100,"new RNA feature, 5'UTR of rnmV
",,,,,5'UTR of rnmV,,,S27,,,
BSU36810,atpD,1419,"ATP synthase, part of the F1 complex (subunit beta)",4.61,51.2553,473,ATP synthesis,ATP synthase (subunit beta)),no,3.6.3.14,atpD,,,
BSU16160,clpY,1401,"two-component ATP-dependent protease, ATPase subunit",5.31,52.4198,467,protein degradation,"two-component ATP-dependent protease, ATPase subunit",no,,"clpY,hslU,codX",,,
new_1655586_1655958,S574,373,"new RNA feature, intergenic region
",,,,,intergenic region,,,S574,,,
BSU23250,ribH,462,riboflavin synthase (beta subunit),5.2,16.1439,154,riboflavin biosynthesis,riboflavin synthase (beta subunit),no,2.5.1.9,ribH,,,
BSU26050,txpA,177,"toxic peptide, eliminates defective cells from developing biofilms",8.14,6.6034,59,toxin,toxic peptide,no,,"txpA ,yqcR",,,
new_3213329_3216149,S1191,2821,"new RNA feature, 3'UTR of tgl
",,,,,3'UTR of tgl,,,S1191,,,
BSU34430,racX,681,"amino acid racemase, production of non-canonical D-amino acids",5.4,25.1387,227,production of non-canonical D-amino acids,amino acid racemase,no,,racX,,,
new_210947_211412,S75,466,"new RNA feature, intergenic region
",,,,,intergenic region,,,S75,,,
BSU16710,mlpA,1227,"mitochondrial processing peptidase-like, involved in regulation of protease gene expression",5.28,45.8008,409,control of proteolyticc activity,specific processing protease,no,,"mlpA,ymxG",,,
BSU15830,yloU,360,similar to alkaline-shock protein,7.08,13.0504,120,unknown,unknown,no,,yloU,,,
new_579354_579540,S186,187,"new RNA feature, 5'UTR of aseR
",,,,,5'UTR of aseR,,,S186,,,
BSU11620,yjbO,849,similar to pseudouridylate synthase,6.55,31.3227,283,RNA modification,putative pseudouridylate synthase,no,,yjbO,,,
BSU28990,dnaB,1416,"initiation of chromosome replication/ membrane attachment protein, part of the [SW|replisome]",5.28,54.7225,472,[[category|DNA replication]],initiation of chromosome replication/ membrane attachment protein,yes,,dnaB,,,
BSU06640,yerI,1008,unknown,4.87,39.1805,336,unknown,unknown,no,,yerI,,,
new_785976_786536_c,S249,561,"new RNA feature, independent transcript
",,,,,independent transcript,,,S249,,,
BSU00880,disA,1080,"DNA integrity scanning protein, diadenylate cyclase, delays [SW|sporulation] in the case of chromosome damage, the DisA-dependent checkpoint arrests [SW|DNA replication] during <i>B. subtilis</i> spore outgrowth until the germinating spores genome is free of damage",5.57,40.576,360,control of [SW|sporulation] initiation,"DNA integrity scanning protein, has diadenylate cyclase activity",no,2.7.7.85,"disA,yacK",,,
BSU21650,yokB,708,unknown,4.52,27.1864,236,unknown,unknown,no,,yokB,,,
new_3989098_3989183,S1492,86,"new RNA feature, 5'UTR of yxkC
",,,,,5'UTR of yxkC,,,S1492,,,
BSU28720,abfA,1500,alpha-L-arabinofuranosidase,5.34,56.891,500,arabinan degradation,alpha-L-arabinofuranosidase,no,3.2.1.55,abfA,,,
new_663937_664318,S219,382,"new RNA feature, intergenic region
",,,,,intergenic region,,,S219,,,
BSU15400,ylmG,270,unknown,8.89,10.1699,90,unknown,unknown,no,,ylmG,,,
BSU24840,yqgS,1914,polyglycerolphosphate lipoteichoic acid synthase,4.82,73.0281,638,biosynthesis of lipoteichoic acid,minor lipoteichoic acid synthase,no,,yqgS,,,
BSU37140,ywjG,519,unknown,4.32,18.9214,173,unknown,unknown,no,,ywjG,,,
BSU07380,yfmQ,444,unknown,7.17,16.7239,148,unknown,unknown,no,,yfmQ,,,
BSU27550,aspS,1776,aspartyl-tRNA synthetase,4.65,65.7995,592,translation,aspartyl-tRNA synthetase,yes,6.1.1.12,aspS,,,
BSU39100,yxiO,1284,unknown,9.41,47.1105,428,unknown,unknown,no,,yxiO,,,
BSU15700,yloI,1218,Coenzyme A biosynthesis bifunctional protein CoaBC; putative phosphopantothenoylcysteine synthetase/decarboxylase,6.01,43.8166,406,biosynthesis of coenzyme A,putative phosphopantothenoylcysteine synthetase/decarboxylase,yes,4.1.1.36,"yloI,coaBC",,,
BSU08580,yfhL,330,"general stress protein, important for survival at low temperature (4°C) and during ethanol stress",11.02,11.8629,110,,resistence protein (against toxic peptide [[protein|SdpC]]),no,,yfhL,,,
new_3715928_3716008_c,S1386,81,"new RNA feature, intergenic region
",,,,,intergenic region,,,S1386,,,
new_2707760_2708174_c,S987,415,"new RNA feature, 3'UTR of yrkL
",,,,,3'UTR of yrkL,,,S987,,,
BSU28040,radC,693,probable DNA repair protein,7.83,25.9984,231,DNA repair,probable DNA repair protein,no,,"radC,ysxA",,,
BSU07670,yflI,153,unknown,10.06,5.6692,51,unknown,unknown,no,,yflI,,,
new_3145997_3146088_c,S1174,92,"new RNA feature, 5'UTR of mntA
",,,,,5'UTR of mntA,,,S1174,,,
new_3032910_3033040,S1131,131,"new RNA feature, 5'UTR of ytsP
",,,,,5'UTR of ytsP,,,S1131,,,
BSU01260,rplN,366,ribosomal protein,10.4,13.0144,122,translation,ribosomal protein L14,yes,,rplN,,,
BSU11280,yjaU,732,unknown,7.94,28.1885,244,unknown,unknown,no,,yjaU,,,
new_2031115_2031202_c,S694,88,"new RNA feature, 5'UTR of yoaH
",,,,,5'UTR of yoaH,,,S694,,,
BSU38850,yxkC,639,unknown,9.292,22,213,unknown,unknown,no,,yxkC,,,
BSU30910,cotSA,1131,spore coat protein,7.81,42.7536,377,resistance of the spore,spore coat protein,no,,"cotSA,ytxN, ytbA",,,
BSU19639,yoyE,123,unknown,10.09,4.7,41,unknown,unknown,-,,yoyE,,,
BSU32920,yusT,885,similar to transcriptional regulator (LysR family),5.22,32.0762,295,unknown,transcriptional regulator (LysR family),no,,yusT,,,
BSU10700,gerPC,615,"spore germination protein, facilitates access of nutrient germinants to their cognate germinant receptors in spores’ inner membrane",4.76,24.0935,205,germination,unknown,no,,"gerPC,yisF",,,
new_3317409_3317473,S1247,65,"new RNA feature, 5'UTR of yutG
",,,,,5'UTR of yutG,,,S1247,,,
BSU24220,spo0A,801,"[SW|phosphorelay] regulator, initiation of [SW|sporulation], coordinates [SW|DNA replication] and initiation of [SW|sporulation] by binding to sites close to the oriC",5.99,29.5402,267,initiation of [SW|sporulation],[SW|phosphorelay] response regulator,no,,"spo0A,spo0C,spo0G,spoIIL,sof-1",,,
new_2982270_2982476_c,S1101,207,"new RNA feature, 5'UTR of citZ
",,,,,5'UTR of citZ,,,S1101,,,
BSU11500,spx,393,"transcriptional regulator Spx, involved in regulation of many genes, important for the prevention of protein aggregation during severe heat stress, required for protection against paraquat stress",7.91,15.3878,131,negative and positive regulator of many genes,transcriptional regulator Spx,no,,"spx,yjbD",,,
BSU29480,ytxK,987,similar to SAM-dependent methyltransferase,5.41,37.1957,329,DNA modification,similar to SAM-dependent DNA-methyltransferase,no,,"ytxK,ythI",,,
new_4031646_4031766_c,S1512,121,"new RNA feature, intergenic region
",,,,,intergenic region,,,S1512,,,
BSU20760,yopU,195,unknown,4.97,7.5219,65,unknown,unknown,no,,yopU,,,
BSU21830,ypjQ,531,similar to low temperature requirement C protein,4.5,19.7577,177,unknown,unknown,no,,ypjQ,,,
BSU06010,ydiL,732,unknown,8.69,27.4414,244,unknown,unknown,no,,ydiL,,,
BSU16300,fliL,420,"flagellar protein required for flagellar formation , membrane protein",5.18,15.4524,140,movement and chemotaxis,"flagellar protein required for flagellar formation , membrane protein",no,,fliL,,,
BSU_tRNA_54,trnB-Lys,,,,,,translation,transfer RNA-Lys,no,,"trnB-Lys,trnE",,,
new_2185422_2185503_c,S772,82,"new RNA feature, intergenic region
",,,,,intergenic region,,,S772,,,
BSU37710,bacD,1416,alanine-anticapsin ligase,4.68,52.1009,472,biosynthesis of the antibiotic bacilysin,alanine-anticapsin ligase,no,6.3.2.28,"bacD,ywfE, ipa-83d",,,
BSU07880,yfkJ,468,"general stress protein, protein tyrosine phosphatase, required for protection against paraquat stress",4.56,17.1257,156,survival of stress conditions,protein tyrosine phosphatase,no,3.1.3.48,yfkJ,,,
BSU14770,ylaG,1836,similar to GTP-binding elongation factor,4.97,68.2119,612,unknown,unknown,no,,"ylaG,bipA",,,
new_235403_235489_c,S83,87,"new RNA feature, 5'UTR of glpT
",,,,,5'UTR of glpT,,,S83,,,
new_549923_550239_c,S175,317,"new RNA feature, 3'UTR of yddN
",,,,,3'UTR of yddN,,,S175,,,
BSU31930,ald,1134,L-alanine dehydrogenase,5.12,39.5257,378,alanine utilization,L-alanine dehydrogenase,no,1.4.1.1,"ald,spoVN",,,
new_1147493_1148466_c,S379,974,"new RNA feature, 3'UTR of gerPF
",,,,,3'UTR of gerPF,,,S379,,,
